index,image_path,true_label,predicted_label,probability,error_type
404,non_georges/f68bdb42aaba5dda83330eb93a3d0560.jpg,non_georges,georges,0.9998981952667236,false_positive
519,non_georges/8e7cb41a5b5d7bb386891b0bed31cc2a.jpg,non_georges,georges,0.9997875094413757,false_positive
828,non_georges/e2c9142403959291dc9768d9ec2a6b8b.jpg,non_georges,georges,0.9991881251335144,false_positive
782,non_georges/d12addac89432815cc331924c98b97e0.jpg,non_georges,georges,0.9991532564163208,false_positive
479,non_georges/0c889820ec03227827aeb7045e36512a.jpg,non_georges,georges,0.9990749359130859,false_positive
605,non_georges/14767f8edc2b1cbf064f91cd42add601.jpg,non_georges,georges,0.998456597328186,false_positive
735,non_georges/42dfd245ab187d7a6bffa688dcb57b2a.jpg,non_georges,georges,0.9962959885597229,false_positive
435,non_georges/5ed8853235c80ae6a66d7a665b82ba96.jpg,non_georges,georges,0.987738847732544,false_positive
683,non_georges/ec8bfe162e828bb0206f6344fe38e291.jpg,non_georges,georges,0.9613698124885559,false_positive
455,non_georges/029ef54d8fef4629737442e356877f7d.jpg,non_georges,georges,0.9601504802703857,false_positive
768,non_georges/6f17074ad14adad8f7a93a17021ae7b4.jpg,non_georges,georges,0.9560577273368835,false_positive
589,non_georges/6795111488dd85aed86b3b2bee0403a5.jpg,non_georges,georges,0.9277601838111877,false_positive
583,non_georges/9900c98e1780b0e67dd6bc4d9c0f4ca5.jpg,non_georges,georges,0.9257141947746277,false_positive
686,non_georges/24b7820d1535c66f43525bdebb424043.jpg,non_georges,georges,0.9015963077545166,false_positive
456,non_georges/16dd1cdd6ac4466b84534ce556e88849.jpg,non_georges,georges,0.8987361192703247,false_positive
634,non_georges/a767ef3450093b947683cf95a16b64e3.jpg,non_georges,georges,0.8923461437225342,false_positive
792,non_georges/adfe1b1975cad5c5bf8c9cc30ff4da66.jpg,non_georges,georges,0.8897693753242493,false_positive
813,non_georges/6aa72d5b9412dd4c77c328c768542426.jpg,non_georges,georges,0.8855510354042053,false_positive
764,non_georges/de93c205bfc3e2acb928f6eccbf4420f.jpg,non_georges,georges,0.8748341798782349,false_positive
742,non_georges/121e9b1a5c1223c24f2e750ad8eb9f0f.jpg,non_georges,georges,0.8716321587562561,false_positive
466,non_georges/6287a4935a4892d49d99054416fae3b3.jpg,non_georges,georges,0.865779459476471,false_positive
521,non_georges/79def3336d37392cef154167fc272cc0.jpg,non_georges,georges,0.8467806577682495,false_positive
387,non_georges/2fabe0d4228ac4d92590d3b337f837d6.jpg,non_georges,georges,0.8438002467155457,false_positive
709,non_georges/a12222f2cb266fbdaf1386d0be9e26a8.jpg,non_georges,georges,0.8389200568199158,false_positive
727,non_georges/cbda6c49d1b20d94e408a0bb56993c1e.jpg,non_georges,georges,0.8389007449150085,false_positive
578,non_georges/b46485d691f644775ec81550bf65e685.jpg,non_georges,georges,0.8355286121368408,false_positive
425,non_georges/2b602223201b603ec93a0fa4e417efcb.jpg,non_georges,georges,0.8124864101409912,false_positive
852,non_georges/07b5f16edbb115b623d7f0f3d0889799.jpg,non_georges,georges,0.7995685338973999,false_positive
469,non_georges/411cf1326131bd11b6cf7db08501abee.jpg,non_georges,georges,0.7574177384376526,false_positive
506,non_georges/129bb57784357c90b48a7e7e3403c548.jpg,non_georges,georges,0.5803947448730469,false_positive
795,non_georges/2891ad8c236fa18da57147185a2c4e48.jpg,non_georges,georges,0.568789005279541,false_positive
610,non_georges/a3769b0b377b937187c8b0eed35a835e.jpg,non_georges,georges,0.539480984210968,false_positive
480,non_georges/bc3af41444c7d8e4403691eb324941fb.jpg,non_georges,georges,0.529657244682312,false_positive
112,georges/439c78dc6267b9af65b6d9fbddf87842.jpg,georges,non_georges,0.44460612535476685,false_negative
259,georges/742bd707d5498c3f83db2f001625a02f.jpg,georges,non_georges,0.43429115414619446,false_negative
176,georges/1e70934b29273e21134c1f046955b7e3.jpg,georges,non_georges,0.39642611145973206,false_negative
247,georges/4552fd36a85f39d63191799995f75f81.jpg,georges,non_georges,0.38049963116645813,false_negative
108,georges/189fa5eb141d8af1093af426cddd6079.jpg,georges,non_georges,0.32328441739082336,false_negative
186,georges/c7d2f76db1b764d512ddc3f8bf324705.jpg,georges,non_georges,0.2810327410697937,false_negative
178,georges/fdfd1453045a997a248b31ebe3e9394d.jpg,georges,non_georges,0.26984187960624695,false_negative
345,georges/241ffed9146f59696d4455a057c7a1eb.jpg,georges,non_georges,0.21863609552383423,false_negative
315,georges/74f90aeff2e4c2c359250808ee53392e.jpg,georges,non_georges,0.21251331269741058,false_negative
38,georges/0a4167c5b98eba6b844e0b396c02d282.jpg,georges,non_georges,0.20541299879550934,false_negative
110,georges/81989db16fa5f9c227cdaf1afde4d4fc.jpg,georges,non_georges,0.14990167319774628,false_negative
252,georges/dac3b2be4a188372bbb7c929d7627b94.jpg,georges,non_georges,0.13062739372253418,false_negative
183,georges/62e0e9a60d044975764a125ab8da87f8.jpg,georges,non_georges,0.12053674459457397,false_negative
142,georges/c615a0d3cbc283d9601105baf60166ce.jpg,georges,non_georges,0.09563656896352768,false_negative
327,georges/b91407a00a521caf2e5dc5b0ff712e97.jpg,georges,non_georges,0.08105895668268204,false_negative
344,georges/b890c01ce53aa4b74c1f2a049ce1216f.jpg,georges,non_georges,0.07001315802335739,false_negative
145,georges/6e4d69690392814fc7d6f295ae2cdc55.jpg,georges,non_georges,0.059266287833452225,false_negative
47,georges/593e70b48ee3cbdbd5c7cfb7f7106623.jpg,georges,non_georges,0.039453789591789246,false_negative
168,georges/68b629663716e0f918f2fb770f9b3b15.jpg,georges,non_georges,0.014252850785851479,false_negative
